体育频道,#genre#
北京体育休闲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
南国都市4K,https://justsometime.gztv.com/sec/shenghuos.m3u8
江苏体育,https://xuyi-tv-replay.cm.jstv.com/lizhiapp/jsty.m3u8
深圳体育健康,http://gxyl-dl001.8866.org:8181/tsfile/live/1116_1.m3u8
黑龙江文体,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225965/index.m3u8
山东体育,http://27.202.3.211:9901/tsfile/live/1073_1.m3u8
广州竞赛,http://my.mytvtv.top/guangdong/gztv.php?id=gzjs
广东体育,http://157.122.177.10:9901/tsfile/live/1001_1.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?zzhed
陕西体育,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001594/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
新疆体育,http://livehyw5.chinamcache.com/hyw/zb10.m3u8?txSecret=d091dfc5816b7d292a3857c717d16a66&txTime=95A66658
辽宁体育,http://42.176.185.28:9901/tsfile/live/1007_1.m3u8
天津体育,http://117.14.55.102:18080/hls/46/index.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
广东体育,http://120.84.97.44:808/hls/22/index.m3u8
五星体育,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001018/1.m3u8
精品体育,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225709/2/index.m3u8
杭州亚运,http://183.129.242.178:3333/tsfile/live/1019_1.m3u8
咪咕足球,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226240/2/index.m3u8
ELEVEN1,http://38.55.196.41/iptv.php?key=1dff350a198e9e53696fd9c8ab1b2862&id=76
ELEVEN2,http://38.55.196.41/iptv.php?key=1dff350a198e9e53696fd9c8ab1b2862&id=77
爱尔达体育1,http://38.55.196.41/iptv.php?key=1dff350a198e9e53696fd9c8ab1b2862&id=79
爱尔达体育2,http://38.55.196.41/iptv.php?key=1dff350a198e9e53696fd9c8ab1b2862&id=80
爱尔达体育3,http://38.55.196.41/iptv.php?key=1dff350a198e9e53696fd9c8ab1b2862&id=81
麻辣体育,http://home.ddx2013.cc:4022/rtp/239.93.5.210:9732
新视觉,https://tv.fanmingming.com/api/v6.php?id=ycxsjH265
魅力足球,https://tv.fanmingming.com/api/v6.php?id=mlyy
劲爆体育,https://tv.fanmingming.com/api/v6.php?id=lqhxjcHDH265
五星体育,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001018/index.m3u8?
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://222.71.90.218:8888/newlive/live/hls/56/live.m3u8
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000
劲爆体育,http://live.aptvapp.com/sxg.php?id=lqhxjcHDH265_4000
劲爆体育,http://live.aptvapp.com/ghyx.php?id=JinBaoTiYuHD_6000
广东体育,http://120.84.96.73:808/hls/22/index.m3u8
五星体育,http://222.71.90.218:8888/newlive/live/hls/56/live.m3u8
纬来体育,http://123.51.230.108:18509/http/192.168.1.9:8081/hls/67/809/12_2440494.m3u8
ELEVEN体育,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
智林体育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
咪咕4k,http://120.234.220.107:9000/udp/239.20.0.66:3136
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
咪咕-1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226235/2/index.m3u8
咪咕-2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226240/2/index.m3u8
咪咕-3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226243/2/index.m3u8
咪咕-4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226235/index.m3u8
咪咕-5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226238/index.m3u8
咪咕-7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226243/index.m3u8
